"","date","site","site_sampled","survey_period","ID","quadrant","length_mm","app_gosner","distance_from_shore_cm","depth_captured_cm","surface_temp","swabbed","Bd","GE_load","tail_short","record_type","amb_temp","adult_location","weight_g","SVL_mm","sex","elevation","Bd_binary","mean_temp","min_temp","max_temp","raw_count","species_richness","shannon_index"
"31","2/10/2022",38,15,1,"A31",NA,NA,NA,NA,NA,NA,NA,"Positive",215,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",33,33,"Male",471,1,14,13,18,216,4,1.038440115
"32","2/10/2022",38,15,1,"A32",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",19.5,"In grass at top of dried dam, 4 m from water body",3,33,"Male",471,1,14,13,18,216,4,1.038440115
"33","2/10/2022",54,8,1,"A33",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",3,30,"Male",612,0,14,12,25,398,4,1.254068971
"34","2/10/2022",54,8,1,"A34",NA,NA,NA,NA,NA,NA,NA,"Positive",5010,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",4,36,"Female",612,1,14,12,25,398,4,1.254068971
"35","2/10/2022",54,8,1,"A35",NA,NA,NA,NA,NA,NA,NA,"Positive",395,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",27,30,"Male",612,1,14,12,25,398,4,1.254068971
"36","2/10/2022",54,8,1,"A36",NA,NA,NA,NA,NA,NA,NA,"Positive",361,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",33,35,"Male",612,1,14,12,25,398,4,1.254068971
"37","2/10/2022",54,8,1,"A37",NA,NA,NA,NA,NA,NA,NA,"Positive",842,NA,"Adult",16.3,"In reed patches around waters edge, 0-5 m from boggy shore",52,40,"Female",612,1,14,12,25,398,4,1.254068971
"38","3/10/2022",3,2,1,"A43",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",23.6,"In reeds above  water",32,28,"Male",655,0,15,12,24,293,3,0.912198176
"39","3/10/2022",3,2,1,"A44",NA,NA,NA,NA,NA,NA,NA,"Positive",1250,NA,"Adult",23.6,"In reeds above water",2,28,"Male",655,1,15,12,24,293,3,0.912198176
"40","3/10/2022",4,3,1,"A38",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",19.1,"In grass 1 m from water",28,32,"Male",660,0,NA,NA,NA,443,4,0.852298022
"41","3/10/2022",4,3,1,"A39",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",19.1,"In grass 1 m from water",23,31,"Male",660,1,NA,NA,NA,443,4,0.852298022
"42","3/10/2022",4,3,1,"A40",NA,NA,NA,NA,NA,NA,NA,"Positive",178,NA,"Adult",19.1,"In grass 1 m from water",35,29,"Male",660,1,NA,NA,NA,443,4,0.852298022
"43","3/10/2022",4,3,1,"A41",NA,NA,NA,NA,NA,NA,NA,"Positive",1090,NA,"Adult",19.1,"In grass 1 m from water",25,33,"Male",660,1,NA,NA,NA,443,4,0.852298022
"44","3/10/2022",4,3,1,"A42",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",19.1,"In forest20 m from water body",35,30,"Male",660,0,NA,NA,NA,443,4,0.852298022
